Judul,Isi Berita,Kategori
lembong terjerat hukum karena berikan perizinan impor saat surplus gula,"jakarta - thomas trikasih lembong (ttl) alias  tom lembong  telah ditetapkan sebagai tersangka oleh kejaksaan agung (kejagung). kejagung menilai tom lembong memberikan perizinan impor saat indonesia surplus gula.direktur penyidikan jampidsus kejagung, abdul qohar menyatakan, surplus gula tersebut berdasarkan rapat koordinasi (rakor) antarkementerian pada 12 mei 2015 yang salah satunya menyimpulkan indonesia mengalami surplus gula. namun, di tahun yang sama tom lembong memberikan izin persetujuan  impor gula  kristal mentah (gkm) ke pt ap sebanyak 105.000 ton. qohar melanjutkan, sesuai dengan keputusan menteri perdagangan dan peridustrian nomor 527 tahun 2004 yang diperbolehkan impor gula kristal putih (gkp) adalah bumn.""tetapi berdasarkan persujuan impor yang telah dikeluarkan oleh tersangka ttl, impor gula tersebut dilakukan oleh pt ap,"" kata qohar.impor gkm itu juga dilakukan tanpa adanya rakor dengan intansi terkait. selain itu, impor juga dilakukan tanpa adanya rekomendasi dari kementerian-kementerian guna mengetahui kebutuhan riil gula di dalam negeri.""bahwa kerugian negara akibat perbuatan importasi gula yang tidak sesuai dengan ketentuan perundang-undangan yang berlaku negara dirugikan kurang lebih rp400 miliar,"" ujarnya.
            
                lihat juga: gaji dan tunjangan tom lembong saat jadi menteri perdagangan ri 2015-2016
            (abd)",nasional
"bukan sekadar mengutuk, hamas minta pemimpin islam ikut bertanggung jawab atas genosida di gaza","gaza - para pemimpin negara-negara islam dalam setahun terakhir umumnya hanya berwacana dan berdialektika ketika berbicara tentang kekejaman israel di gaza. mereka hanya mengutuk dan mengecam tindakan keji israel. tapi, mereka tak bertindak banyak.bosan dengan kutukan dan kecaman negara-negara islam tersebut, hamas hamas menyerukan para pemimpin arab dan islam untuk menegakkan tanggung jawab atas perang genosida di gaza“para pemimpin negara-negara arab dan islam untuk menegakkan tanggung jawab mereka dan tidak hanya menyetujui dengan pernyataan kutukan,"" demikian ungkap hamas, dilansir middle east monitor. gerakan ini mendesak mereka untuk: “mengambil tindakan untuk menghentikan perang genosida dan pembersihan etnis yang dialami rakyat kami.”gerakan ini menegaskan dalam pernyataan pers yang diterima oleh quds press bahwa, “penyerbuan rumah sakit martir kamal adwan di proyek beit lahia oleh tentara pendudukan teroris… adalah kejahatan perang dan pelanggaran terang-terangan terhadap hukum internasional.”
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            serangan israel ke iran dianggap gagal, berikut 4 alasannya
                        
                    
                 “pemerintah pendudukan zionis terus melakukan perang genosida di jalur gaza utara, tanpa mempedulikan akibat apa pun, mengingat dukungan dan perlindungan penuh yang diberikan kepadanya oleh pemerintah as,” tambahnya.gerakan ini menekankan bahwa, pembantaian yang dilakukan di jalur gaza utara dan pemboman kriminal yang difokuskan pada rumah-rumah, dan pembongkaran blok-blok perumahan di atas penghuninya adalah desakan zionis atas kampanye pembersihan etnis yang dilakukannya di jalur gaza utara.hamas menyerukan kepada para pemimpin negara arab dan islam untuk meneguhkan tanggung jawab mereka dalam melindungi rakyat palestina. mereka juga meminta pemimpin islam untuk tidak merasa puas dengan pernyataan kutukan dan bertindak untuk menghentikan perang genosida dan pembersihan etnis.hamas mengakhiri dengan mengkritik: “masyarakat internasional dan lembaga-lembaganya yang bungkam atas kejahatan-kejahatan ini memikul tanggung jawab politik dan moral atas kelanjutannya dan atas keruntuhan yang disaksikan dunia dalam sistem nilai-nilai dan hukum yang mengaturnya, karena pelanggaran-pelanggaran zionis yang meluas terhadapnya.”
            
                lihat juga: padang mahsyar dunia berada di palestina? berikut ini dalilnya
            (ahm)",internasional
laporan media iran: tak ada pangkalan militer di barat teheran yang diserang israel,"teheran - kantor berita tasnim iran mengatakan sejauh ini tidak ada ledakan yang dilaporkan di kantor pusat militer garda revolusi di sebelah barat atau barat daya teheran.""suara yang terdengar terkait dengan keterlibatan pertahanan udara tentara di tiga tempat di sekitar teheran sebagai tanggapan atas serangan israel,” ungkap laporan itu, mengutip beberapa sumber.“informasi tambahan tentang alasan di balik suara beberapa ledakan akan diumumkan kemudian,"" papar sumber itu.loud sirens were heard in sadeghiyeh (aryashahr) neighborhood in western tehran as israel started its airstrikes, a video obtained by @iranintl_en shows. pic.twitter.com/vpagcu5l5y — iran international english (@iranintl_en) october 26, 2024  laporan itu setelah kantor berita fars mengatakan beberapa pangkalan militer di sebelah barat dan barat daya ibu kota iran telah menjadi sasaran serangan israel, menurut penyelidikan awal.foad izadi, profesor madya studi dunia di universitas teheran, telah berbicara kepada al jazeera dari ibu kota iran.dia mengatakan, “kota teheran sangat tenang sekarang.""""sekitar pukul empat pagi di teheran, dan kami tidak melihat apa pun yang terjadi di luar, atau aktivitas atau gerakan apa pun,"" ujar dia.dia menjelaskan, “jadi kota ini berfungsi seperti biasa, dan jika terjadi serangan, saya rasa serangan itu tidak sebesar itu.”direktur bandara internasional imam khomeini di teheran mengatakan bandara tersebut terus beroperasi sesuai jadwal, tanpa ada insiden keamanan yang dilaporkan, demikian laporan rekan-rekan kami di al jazeera arabic.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            israel luncurkan serangan ke iran, beberapa ledakan terdengar di teheran
                        
                    
                 
            
                lihat juga: tidak seperti hassan nasrallah, pemimpin baru hizbullah justru bukan dari keturunan nabi muhammad, kenapa?
            (sya)",internasional
"retreat berakhir, mentan-wamentan ungkap kesan selama di akmil magelang","magelang - menteri pertanian (mentan) andi amran sulaiman dan wakil menteri pertanian (wamentan) sudaryono mengungkapkan kesannya setelah merampungkan retreat kabinet merah putih.“luar biasa, kompak, kabinet merah putih kompak,” kata mentan amran saat meninggalkan kompleks akademi militer (akmil) magelang, jawa tengah, minggu (27/10/2024).amran menjelaskan bahwa pelatihan tidak hanya menguatkan kebersamaan antara pejabat di kabinet merah putih, tetapi juga memantapkan komitmen untuk mewujudkan cita-cita bangsa.“pembekalan ini menegaskan kembali komitmen untuk bekerja dengan hati dan penuh integritas, serta kekompakan di bawah komando presiden prabowo,” ujarnya.sepakat dengan mentan amran, wamentan sudaryono mengaku menjadi semakin bersemangat untuk menjalankan pemerintahan yang mengabdi kepada kepentingan rakyat. salah satunya mewujudkan gagasan besar untuk swasembada pangan.“kita dapat pengarahan presiden, di sini kita benar-benar fokus dan kompak. kami siap menyukseskan pemerintahan prabowo-gibran. semangat, swasembada, swasembada, tidak bisa ditawar,” ucapnya.seperti diketahui, presiden prabowo subianto mengumpulkan jajaran pejabat di kabinet merah putih untuk mengikuti pembekalan selama tiga hari. kegiatan retreat menekankan pentingnya kebersamaan, disiplin, dan kesatuan visi antara para menteri di kabinet merah putih.dalam berbagai kesempatan selama di akmil magelang, mentan amran dan wamentan sudaryono terlihat sering bersama dan berdiskusi serius di sela-sela kegiatan. kekompakan dan kebersamaan punggawa kementerian yang mengurusi produksi pangan rakyat indonesia ini, kerap kali menjadi sorotan para menteri lainnya. “wah menteri dan wamennya kompak nih pertanian. naik mobil (golf car) aja barengan,” celetuk salah satu menteri kabinet merah putih.di tengah suasana diskusi dan evaluasi, keduanya menunjukkan kerja sama yang solid, mencerminkan keharmonisan dalam upaya bersama membangun sektor pertanian indonesia.
            
                lihat juga: kolaborasi dengan bumn pangan, mentan amran optimalkan kemandirian pangan nasional",nasional
kasus suap mantan pejabat ma cermin bobroknya peradilan,"jakarta - kasus suap perkara kasasi gregorius ronald tannur yang menjerat mantan pejabat mahkamah agung (ma) zarof ricar (zr) membuka tabir praktik mafia kasus (markus) yang masih gentayangan di peradilan indonesia.terlebih, dari rumah zr yang merupakan mantan kepala balitbang diklat kumdil ma itu disita uang bernilai fantastis yakni rp920 miliar dan 51 kg emas. tersangka diduga menerima gratifikasi mulai 2012-2022.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            profil zarof ricar, eks pejabat ma tersangka suap ronald tannur dengan barang bukti rp950 miliar dan 51 kg emas
                        
                    
                 wakil ketua dewan pembina dpp kongres advokat indonesia (kai) henry indraguna menilai dengan ditetapkannya zarof ricar sebagai tersangka perantara suap dalam kasus ronald tannur (31) mencerminkan bobroknya dunia peradilan di indonesia. menurut pemerhati hukum ini, dengan temuan uang yang diduga hasil pengurusan perkara menunjukkan bagaimana aparat memperjualbelikan vonis hukum dengan mengebiri rasa keadilan korban dan masyarakat. “bahkan tidak menutup kemungkinan dalam pendalaman dan penyidikan kasus ini ke depan akan terkuak siapa lagi sebagai aktor praktik suap yang sering jual-beli penyelesaian suatu perkara,” ujar henry indraguna yang juga anggota dewan pakar partai golkar, senin (28/10/2024).menurut dia, indonesia sudah darurat korupsi sehingga dapat menimbulkan krisis kepercayaan di masyarakat. “ini sudah pasti membuat dinamika krisis kepercayaan di masyarakat terhadap hukum di indonesia yang semakin akut,” ujar doktor hukum dari uns surakarta dan universitas borobudur jakarta ini.henry berharap kepada pemerintahan prabowo-gibran harus segera melakukan penataan sistem dan mekanisme peradilan yang terkelola secara profesional dengan menggunakan prinsip transparansi sekaligus akuntabel.“supaya kejadian serupa tidak terulang di kemudian hari, harus ada pola rewards dan punishment. ini harus diberikan dan diberlakukan kepada setiap hakim dan panitera serta asn di lingkungan ma,” ucapnya. 
            
                lihat juga: gpa minta kejagung usut tuntas sumber uang rp920 miliar dan 51 kg emas eks pejabat ma",nasional
"profil mehdi hasan, jurnalis muslim yang diancam dibunuh ryan girdusky saat acara live","london - jurnalis muslim mehdi hasan viral setelah dikomentari rasis dan diancam dibunuh oleh ryan girdusky saat acara diskusi live di cnn. cnn kemudian mengatakan komentator sayap kanan ryan girdusky tidak akan diterima lagi tampil live setelah dia membuat pernyataan rasis di acara ""cnn newsnight with abby phillip.""pada acara utama hari senin (28/10/2024), setelah jurnalis muslim mehdi hasan menyatakan dia mendukung palestina, komentator konservatif ryan girdusky menanggapi, ""saya harap pager anda tidak berbunyi."" komentar girdusky tersebut merujuk pada ribuan ledakan pager di lebanon yang menargetkan warga sipil dan pejuang hizbullah. cnn mengetahui serangan tersebut dilakukan israel.hasan kemudian bertanya kepada phillip, ""apakah tamu anda baru saja mengatakan saya harus dibunuh di tv live?"" girdusky menanggapi dengan secara keliru menyamakan dukungan hasan terhadap palestina dengan kelompok hamas.""itu sama sekali tidak masuk akal. anda tahu itu,"" ujar phillip kepada girdusky. phillip meminta maaf kepada para pemirsa atas pernyataan girdusky. girdusky mengatakan dia meminta maaf karena dia mengira hasan mengatakan dia mendukung hamas, klaim yang dibantah phillip dan hasan.beberapa menit kemudian, saat acara kembali dari jeda iklan, phillip berkata pada pemirsa dan hasan atas komentar ""yang sama sekali tidak dapat diterima"" yang dibuat girdusky dan girdusky pun dikeluarkan dari acara tersebut.""ada batas yang dilanggar di sana dan itu tidak dapat diterima oleh saya. itu tidak dapat diterima oleh kami di jaringan ini. kami ingin berdiskusi. kami ingin orang-orang yang tidak sependapat untuk berbicara satu sama lain. namun, jika anda melewati batas kurangnya kesopanan, itu tidak akan terjadi di acara ini,"" tegas phillip.
            
                lihat juga: 10 fakta hubungan pangeran william dan harry, dari keluarga hingga persaingan saudara",internasional
perampasan aset tindak pidana dan pembuktian terbalik,"romli atmasasmitasetelah undang-undang (uu) tindak pidana korupsi (tipikor) (1999/2001) dan uu tindak pidana pencucian uang (tppu) (2010) diundangkan telah terbukti bahwa upaya penegakan hukum dalam pemberantasan korupsi masih mengalami hambatan, terutama dalam hal pengembalian kerugian negara dan pemulihan aset tindak pidana secara maksimal. hal ini disebabkan di dalam kitab undang-undang hukum acara pidana (kuhap) maupun di dalam uu tipikor dan uu tppu aquo tidak diatur secara rinci dan jelas baik mengenai hukum materiil maupun hukum formil mengenai bagaimana norma dan prosedur perampasan aset tipikor dapat dioptimalkan. di dalam pertimbangan ruu perampasan aset tindak pidana antara lain dikemukakan bahwa, (b) perkembangan tindak pidana yang bertujuan untuk mendapatkan keuntungan ekonomis berpotensi merusak tatanan perekonomian nasional sekaligus mengurangi kemampuan pemerintah indonesia dalam mewujudkan kesejahteraan umum sehingga diperlukan pengaturan mengenai perampasan aset terkait dengan tindak pidana. akan tetapi, ruu perampasan aset tindak pidana ini tidak bertujuan untuk menghukum pelaku/pemilik aset yang diduga berasal dari tindak pidana sebagaimana dikemukakan dalam pasal 1 angka 3: perampasan aset tindak pidana yang selanjutnya disebut perampasan aset adalah upaya paksa yang dilakukan oleh negara untuk mengambil alih penguasaan dan/atau kepemilikan aset tindak pidana berdasarkan putusan pengadilan yang telah memperoleh kekuatan hukum tetapi tanpa didasarkan pada penghukuman terhadap pelakunya. 
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            perampasan aset tindak pidana
                        
                    
                 pola perampasan aset tindak pidana sebagaimana diatur di dalam ruu perampasan aset tindak pidana ini menganut perampasan aset tindak pidana, dikenal in rem forfeiutre, dan tidak menganut in personam forefeiture atau perampasan aset tindak pidana berdasarkan putusan pengadilan yang berkekuatan hukum tetap yang menjatuhkan hukuman terhadap pelaku tindak pidana/pemilik aset tindak pidana yang tidak dapat dibuktikan asal-usul perolehannya yang sah. ruu perampasan aset tindak pidana menganut pendekatan in-rem forefeiture, dalam arti yang dijadikan target adalah hanya perampasan aset tindak pidana, bukan pelaku tindak pidana yang menguasai aset tindak pidana. perampasan aset in-rem forfeiture tidak bertujuan menghukum pelaku tindak pidananya. pola pendekatan relatif baru di dalam ruu perampasan aset tindak pidana ini merupakan perubahan mendasar dalam strategi pemberantasan tindak pidana khususnya dalam tindak pidana korupsi yang telah berhasil dipraktikkan di negara anggota uni eropa dan amerika serikat. perubahan tersebut juga mengakibatkan perubahan dalam hukum pidana formil, hukum acara perampasan aset tindak pidana, yaitu perampasan dilakukan berdasarkan prosedur gugatan keperdataan yang dilaksanakan oleh jaksa perdatun dan tata usaha negara (jadatun). di dalam ruu perampasan aset tindak pidana ini, prosedur hukum acara perampasan dilakukan melalui 4 (empat) tahap yaitu: a) penelusuran, (b) penghentian transaksi, (c) pemblokiran, dan (d) penyitaan. akan tetapi, perampasan aset tidak pidana hanya dapat dilakukan berdasarkan putusan pengadilan yang telah berkekuatan hukum tetap saja, tanpa didasarkan pada penghukuman terhadap pelakunya. jaksa pengacara negara wajib menyampaikan dalil-dalil yang menjadi dasar permohonan dan wajib membuktikan bahwa aset yang dimohonkan untuk dirampas merupakan aset tindak pidana (pasal 37) dan jika terdapat pihak yang berkeberatan atas pemohonan jaksa pengacara negara, diwajibkan pihak tersebut mengajukan upaya hukum perlawanan. dalam hal alat bukti yang diatur dalam ruu perampasan aset tindak pidana, diatur ketentuan mengenai alat bukti (baru) yaitu penyataan (affidavit) dari penyedia layanan dalam hal aset yang dimohonkan berupa akun atau benda tidak berwujud seperti saham. merujuk ketentuan pasal 37 di atas, jelas bahwa permohonan perampasan aset tindak pidana tidak menghapuskan kewenangan penuntutan (pasal 3) sehingga jika dalam penuntutan tindak pidana ternyata objek aset tindak pidana sama dengan aset tindak pidana yang dimohonkan untuk dirampas, maka permohonan perampasan aset tindak pidana melalui proses gugatan ditunda sampai ada putusan pengadilan yang berkekuatan hukum tetap terhadap pelakunya. 
            
                lihat juga: kausa kejahatan dan viktimisasi",nasional
"kapolri terima penghargaan dari raja malaysia, alwi: pengakuan prestasi dan dedikasi","jakarta - kapolri jenderal polisi  listyo sigit prabowo  dijadwalkan menerima penghargaan panglima gagah pasukan polis dari raja malaysia, sultan ibrahim. penghargaan itu diberikan di istana negara malaysia pada hari ini.pendiri haidar alwi institute (hai), r haidar alwi menilai, penghargaan tersebut merupakan bentuk pengakuan negara lain atas prestasi dan dedikasi polri di bawah kepemimpinan kapolri jenderal polisi listyo sigit prabowo.baik dalam menjaga keamanan nasional dan kawasan, maupun dalam hubungan kerja sama antarnegara sahabat khususnya dengan polisi diraja malaysia.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            41 perwira polisi berpangkat kompol dimutasi kapolda metro jaya, ini nama-namanya
                        
                    
                 ""prestasi dan dedikasi polri di bawah kepemimpinan kapolri jenderal listyo sigit prabowo sudah diakui dunia sehingga menjadikannya layak dan pantas diganjar penghargaan,"" kata r haidar alwi, rabu (30/10/2024).haidar mengungkap kembali hasil riset international police science association (ipsa) yang berbasis di amerika serikat berkolaborasi dengan institute for economic and peace (iep) yang terdaftar di autralia.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            33 perwira lemdiklat polri dimutasi september 2024, jadi kapolres hingga ketua stik
                        
                    
                 dalam laporan bertajuk world internal security and police index (wispi) 2023, ipsa dan iep mengukur kemampuan kepolisian suatu negara dalam menjaga keamanan dan ketertiban masyarakat serta keselamatan anggotanya.""hasilnya polri menempati peringkat ke-63 dari 125 negara atau naik 21 peringkat dibanding sebelumnya di posisi ke-84 dari 127 negara. bahkan untuk salah satu varibel, polri terbaik ke-3 di dunia,"" jelasnya.gallup, lembaga survei lainnya dari amerika serikat juga mengakui kinerja positif polri. mereka mengukur persepsi masyarakat terhadap kinerja kepolisian di lebih dari 120 negara dengan mewawancarai sekitar 127.000 orang dewasa.""dari laporan global law and order yang dirilis gallup tahun 2022, polri di bawah kepemimpinan kapolri jenderal listyo sigit prabowo masuk lima besar polisi dengan kinerja terbaik di dunia,"" pungkas r haidar alwi
            
                lihat juga: wujudkan program swasembada pangan, polri rekrut bintara pertanian
            (cip)",nasional
"truk tabrak halte di israel, sopir ditembaki warga yahudi","tel aviv - sekitar 37 orang terluka baik kondisi kritis dan ringan setelah sebuah truk menabrak halte bus di dekat glilot di israel tengah pada minggu (27/10/2024). satu orang dalam kondisi kritis, menurut sourasky medical center. magen david adom menambahkan bahwa paramedis merawat enam orang yang terluka parah dan lima orang yang terluka sedang.sekitar 20 orang yang mengalami luka ringan dan empat orang yang menderita kecemasan sedang dirawat oleh para medis, mda juga menyatakan, seraya menambahkan bahwa sebagian besar korban adalah orang dewasa.melansir times of israel, mda mengatakan bahwa mereka memindahkan para korban luka ke sourasky medical center, rabin medical center-beilinson campus, meir medical center, laniado hospital, shamir medical center, dan sheba medical center.polisi israel menyatakan, warga sipil yang berada di tempat kejadian telah menembaki pengemudi truk. polisi mencatat bahwa menurut pemeriksaan awal, sebuah bus telah berhenti di dekat halte bus di daerah tersebut, setelah itu truk menabrak bus dan orang-orang yang berdiri di halte bus.menurut media israel, polisi memperlakukan insiden itu sebagai serangan teror.relawan paramedis united hatzalah aharon yaakobson, yang berada di sekitar lokasi kejadian dan tiba pertama kali di lokasi kejadian, paramedis yaron schiff, eliyah tubul, dan yair porush melaporkan, ""itu adalah lokasi kejadian yang sulit dengan truk, bus, dan pejalan kaki. kami memberikan perawatan awal di lokasi kejadian kepada lebih dari 20 orang (pada tahap ini) yang mengalami berbagai tingkat cedera.""
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            citra satelit tunjukkan fasilitas senjata nuklir iran jadi target serangan israel
                        
                    
                 ""beberapa dari mereka diselamatkan oleh petugas pemadam kebakaran dalam kondisi serius setelah terjebak di bawah truk. anggota unit tanggap krisis dan psikotrauma united hatzalah juga memberikan bantuan di lokasi kejadian kepada beberapa orang yang menderita syok emosional.polisi menyatakan bahwa pasukan besar dikerahkan ke daerah tersebut dan meminta pengemudi mengalihkan rute mereka dari daerah tersebut.
            
                lihat juga: 3 dosa israel terhadap indonesia, salah satunya lukai tni
            (ahm)",internasional
"arab saudi buka sindalah, pulau mewah neom impian pangeran mohammed bin salman","riyadh - kota besar futuristik  arab saudi,  neom, mengumumkan pembukaan sindalah pada hari minggu. sindalah adalah sebuah pulau mewah di laut merah yang dilengkapi restoran, hotel, dan tempat berlabuh kapal pesiar.neom, kota impian yang digagas putra mahkota arab saudi  mohammed bin salman,  menggambarkan sindalah sebagai pameran fisik pertamanya.""yang akan berfungsi sebagai pintu gerbang neom ke laut merah, menyediakan akses mudah bagi pemilik kapal pesiar eropa, saudi, dan gcc [dewan kerjasama teluk],"" kata otoritas neom.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            mohammed bin salman ungkap pulau mewah pertama neom, ini rentetan fasilitasnya
                        
                    
                 ""neom berkomitmen untuk mendukung era baru pariwisata mewah kerajaan, dengan pembukaan sindalah,"" imbuh ceo neom nadhmi al-nasr dalam sebuah pernyataan, sebagaimana dikutip dari al arabiya english, senin (28/10/2024).“destinasi perdana neom menawarkan kepada para pengunjung ‘pandangan pertama’ tentang masa depan portofolio destinasi dan pengembangan kami yang luas,"" paparnya.""sindalah tersebar di lahan seluas 840.000 meter persegi (200 hektare) dan akan menerima hingga 2.400 tamu per hari pada tahun 2028,” imbuh pernyataan bos neom.pertama kali diumumkan oleh putra mahkota arab saudi mohammed bin salman pada bulan desember 2022, neom mengatakan bahwa pembukaan sindalah menandai tonggak sejarah yang menarik dalam kemajuan neom.gelombang pertama tamu undangan telah disambut di sindalah untuk merasakan daya tarik pulau tersebut, menurut laporan saudi press agency (spa).neom menambahkan bahwa mengubah sindalah dari ide menjadi kenyataan merupakan hasil dari upaya dan kerja keras selama dua tahun.“hal ini menandai langkah penting dalam mewujudkan ambisi pariwisata kerajaan di bawah visi saudi 2030 dan menegaskan kembali kemampuan neom untuk merancang dan menghadirkan destinasi baru dan menarik,"" imbuh pernyataan al-nasr.
            
                lihat juga: who kolaborasi dengan arab saudi dalam inisiatif kartu kesehatan haji
            (mas)",internasional
pasukan korea utara dapat tugas usir pasukan ukraina dari kursk di rusia,"moskow - pasukan korea utara telah dikerahkan ke rusia dan beroperasi di wilayah perbatasan kursk tempat pasukan ukraina berpijak. mereka mendapatkan tugas untuk mengusir pasukan ukraina dari wilayah tersebut. sekretaris jenderal nato mark rutte mengatakan ia dapat mengonfirmasi pengerahan tersebut setelah berminggu-minggu berspekulasi, menyusul pertemuan dengan pejabat intelijen dan pertahanan korea selatan pada hari senin.kepala nato yang baru dilantik mengatakan pengerahan tersebut merupakan ""eskalasi signifikan"" dan ""ekspansi berbahaya"" dari perang rusia di ukraina.minggu lalu, presiden vladimir putin menolak untuk menyangkal bahwa pasukan korea utara telah tiba di rusia, menyusul laporan bahwa pyongyang sedang bersiap untuk mengirim ribuan pasukan untuk membantu sekutunya.badan mata-mata korea selatan mengatakan awal bulan ini bahwa sedikitnya 1.500 tentara korea utara telah tiba di rusia, yang mendorong seoul untuk mengeluarkan teguran diplomatik yang keras kepada moskow.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            cawapres partai republik tegaskan as seharusnya tidak berperang dengan rusia, ini alasannya
                        
                    
                 namun, intervensi rutte pada hari senin menandai pertama kalinya nato secara resmi mengakui bahwa pasukan pyongyang beroperasi di rusia. ia menambahkan bahwa korea utara telah mengirim jutaan amunisi dan rudal balistik ke moskow untuk digunakan di ukraina.sebagai balasannya, presiden putin telah setuju untuk mengirim teknologi militer dan dukungan lainnya untuk membantu korea utara menghindari sanksi internasional, kata rutte. kemitraan tersebut, tambahnya, ""merusak perdamaian dan keamanan global"".melansir bbc, peringatannya bahwa pasukan korea utara beroperasi di kursk akan menimbulkan kekhawatiran di ibu kota barat. bentrokan terus berlanjut antara pasukan moskow dan kyiv hampir dua bulan setelah pasukan ukraina pertama kali memasuki wilayah tersebut dalam operasi kejutan.
            
                lihat juga: presiden joe biden berikan 1 syarat jika ukraina ingin menyerang pasukan korea utara
            (ahm)",internasional
"kisah michiko, bagaimana seorang gadis hiroshima selamat dari bom nuklir amerika","tokyo - michiko kodama baru berusia tujuh tahun saat itu, tetapi dia memiliki ingatan yang sangat jelas tentang pagi hari tanggal 6 agustus 1945 di  hiroshima,  jepang.“hari itu cerah,” katanya. “pukul 08.15, saya berada di sekolah, duduk di meja saya di depan kelas, ketika ada kilatan putih yang dahsyat dan langit-langit runtuh. sepotong kaca tersangkut di bahu saya, dan di sekeliling saya orang-orang terjebak oleh pecahan puing, tetapi entah bagaimana semua orang masih hidup.”hal berikutnya yang diingatnya adalah berada di klinik sekolah tempat salah satu guru melepaskan kaca. “mereka merobek tirai untuk membersihkan luka kami sebaik mungkin. kemudian ayah saya datang. dia membaringkan saya di punggungnya dan kami berjalan pulang bersama,"" tutur michiko.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            truman menyesal membom atom hiroshima? jawabnya: persetan, harus dilakukan
                        
                    
                 michiko adalah seorang “hibakusha” atau “orang yang terkena bom”—seorang penyintas  bom nuklir  yang dijatuhkan oleh amerika serikat (as) di kota hiroshima dan nagasaki di jepang. para hibakusha, termasuk keturunan dari mereka yang mengalami pengeboman tersebut, kini berjumlah sekitar 540.000 orang.hampir sembilan dekade sejak peristiwa mengerikan tersebut, nihon hidankyo, organisasi yang mewakili hibakusha, dianugerahi hadiah nobel perdamaian pada 11 oktober 2024. “atas upayanya untuk mencapai dunia yang bebas dari senjata nuklir dan karena menunjukkan melalui kesaksian saksi bahwa senjata nuklir tidak boleh digunakan lagi,"" kata nobel foundation terkait alasan memberikan hadiah nobel perdamaian kepada nihon hidankyo.nihon hidankyo didirikan pada tahun 1956 untuk meningkatkan kesadaran publik di seluruh dunia dengan memamerkan, melalui pengalaman hibakusha, efek jangka panjang senjata nuklir. 
            
                lihat juga: indonesia-jepang perkuat transformasi digital untuk atasi stunting dan pelayanan kesehatan ibu-anak",internasional
ketum partai perindo angela tanoesoedibjo ajak generasi muda pandai bersyukur,"jakarta   - ketua umum partai perindo angela tanoesoedibjo mengajak generasi muda untuk pandai bersyukur dan tidak membandingkan diri dengan orang lain. hal paling tepat untuk perbandingan diri ialah dengan diri sendiri di masa lampau.""bersyukur ialah modal terbesar bagi kita generasi muda,"" kata angela menjawab pertanyaan audiens saat acara di m blok jakarta selatan, senin (29/10/2024).
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            dorong dialog pemerintah-generasi muda, angela tanoesoedibjo: agar kebijakan berpihak
                        
                    
                 selain itu, angela menilai tidak akan ada rasa syukur dalam diri jika terus membandingkan diri dengan orang lain. ""jangan bandingkan diri kita dengan orang lain,"" katanya. angela memberikan saran kepada generasi muda untuk membandingkan diri dengan dirinya sendiri di masa lampau. ""jika kita mau membandingkan diri kita, maka bandingkanlah kita dengan diri kita sendiri,"" pungkasnya.
            
                lihat juga: dorong dialog pemerintah-generasi muda, angela tanoesoedibjo: agar kebijakan berpihak
            (cip)",nasional
"hendak serang lebanon, 2 jet tempur israel nyaris tabrakan","tel aviv - sebuah jet tempur  israel  hampir menabrak pesawat tempur lain di sebuah landasan pacu pangkalan udara ramat david pada sabtu malam. selama insiden tersebut, sebuah jet tempur f-16 lepas landas dari pangkalan udara ramat david untuk menjalankan misi serangan di lebanon. namun, pesawat itu mengidentifikasi jet tempur lain yang melintasi jalurnya.kedua pesawat tempur bermanuver menghindar beberapa saat sebelum nyaris saling bertabrakan.rekaman insiden itu telah bocor ke media pada hari senin, memicu pasukan pertahanan israel (idf) meluncurkan penyelidikan.
                
                    baca juga
                    
                        
                    
                        
                    
                        
                            serangan israel diklaim hancurkan seluruh sistem rudal s-300 iran, teheran dalam bahaya besar
                        
                    
                 menanggapi pertanyaan media perihal insiden tersebut, idf mengatakan bahwa insiden nyaris tabrakan dua pesawat tempur itu akibat dari kesalahan operator menara pengawas lalu lintas udara. ""akibat diterbitkannya persetujuan lepas landas yang salah oleh menara pengawas lalu lintas udara, sementara pesawat lain berada di landasan pacu,"" kata idf, seperti dikutip dari times of israel, selasa (29/10/2024).""para kru merespons dengan cepat dan profesional dan insiden keselamatan yang serius dapat dihindari,"" lanjut idf.pada bulan september, dua tentara tewas dan tujuh lainnya cedera ketika sebuah helikopter militer jatuh di rafah, gaza selatan.penyelidikan berikutnya menemukan bahwa kondisi jarak pandang yang buruk menjadi penyebab kecelakaan tersebut.
            
                lihat juga: 3 dosa israel terhadap indonesia, salah satunya lukai tni
            (mas)",internasional
